id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre
1BxkZE73h9BN3qwuA15TA3,Drip Too Hard,91,Lil Baby,0.9,0.653,0.289,0.0945,0,0.528,0.399,dance pop
0YammaEkYSeo9vQYZ1OwS6,Say My Name,85,David Guetta,0.703,0.66,0.123,0.137,0,0.192,0.79,dance pop
7noud145AHZGg74vpWOsCa,Trip,83,Ella Mai,0.717,0.605,0.075,0.214,0,0.138,0.387,dance pop
3edzl4zvKFi0D3iuF6cs2f,PASS OUT (feat. 21 Savage),85,Quavo,0.917,0.786,0.208,0.0403,0,0.195,0.441,dance pop
1gnwGVoG7V08vMX3hyr90x,Tints (feat. Kendrick Lamar),82,Anderson .Paak,0.798,0.867,0.12,0.101,0,0.0634,0.668,dance pop
575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,85,Shawn Mendes,0.694,0.852,0.257,0.0882,0,0.334,0.377,dance pop
3QybPutx0Tjk472bBKjNWn,Mo Bamba,87,Sheck Wes,0.738,0.629,0.0495,0.268,0.00114,0.163,0.319,dance pop
2NRGaA1GyCmTYfm2GRPkUe,Fine China,81,Future,0.656,0.542,0.323,0.0484,0,0.106,0.551,dance pop
3m2aDCqn8eT5ElXDUiboGU,Get Dripped (feat. Playboi Carti),80,Lil Yachty,0.955,0.492,0.395,0.0987,0,0.417,0.904,dance pop
6gzIcEUuswJQGfJNPYMjjv,Hard Work Pays Off,81,Future,0.736,0.482,0.196,0.327,0,0.229,0.608,dance pop
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,97,Travis Scott,0.834,0.73,0.222,0.00513,0,0.124,0.446,dance pop
1Jl21sidRpEdlVBvYbssLx,Sin (feat. Jaden Smith),85,Young Thug,0.889,0.385,0.165,0.00544,0,0.274,0.235,dance pop
1jQvUmf16VE9WQCPuK2e8K,STOOPID,90,6ix9ine,0.733,0.63,0.395,0.13,0,0.162,0.832,dance pop
5vDvBD3ReINP8dXUplj477,Leave Me Alone,65,Flipp Dinero,0.792,0.743,0.0851,0.107,0,0.183,0.742,dance pop
5qHirGR7M9tdm6C17DlzSY,REEL IT IN,87,Aminé,0.754,0.342,0.0991,0.073,0,0.193,0.423,dance pop
69PkhA9q3xCWU2CzoZnLAu,LOSE IT (feat. Lil Baby),81,Quavo,0.962,0.573,0.308,0.0161,0,0.109,0.728,dance pop
0Fpen1PTuEnCmOJtUU9Iud,New Patek,89,Lil Uzi Vert,0.85,0.785,0.345,0.0367,0,0.155,0.718,dance pop
7lAK3oHbfEnvUQWosrMMpR,YOSEMITE,88,Travis Scott,0.785,0.554,0.0409,0.283,0.0000034,0.116,0.144,dance pop
0dbTQYW3Ad1FTzIA9t90E8,Mona Lisa (feat. Kendrick Lamar),91,Lil Wayne,0.855,0.694,0.169,0.371,0,0.109,0.49,dance pop
39Bq9cOTO0H8M6P9iKLVdq,DrIP DrIp Drip (feat. Meek Mill),75,Tory Lanez,0.71,0.814,0.0561,0.162,0,0.16,0.714,dance pop
2MfcvcvWSUkstTDZXYIakq,Transformer (feat. Nicki Minaj),77,Future,0.753,0.616,0.165,0.00151,0.0000071,0.291,0.287,dance pop
2Vx8E3K5icPZR7OCklWBXX,Nonstop,62,Drake,0.909,0.405,0.14,0.0306,0.00698,0.105,0.455,dance pop
4S8d14HvHb70ImctNgVzQQ,I Love It (& Lil Pump),98,Kanye West,0.901,0.522,0.33,0.0114,0,0.259,0.329,dance pop
33tNYw9oMtSkGe27NpgS64,WORKIN ME,86,Quavo,0.79,0.629,0.142,0.182,0.00000706,0.338,0.267,dance pop
1Wc1SQwiThvSu9dMc5opth,SaintLaurentYSL (feat. Lil Baby),75,Lil Yachty,0.892,0.301,0.74,0.566,0,0.172,0.305,dance pop
0JP9xo3adEtGSdUEISiszL,Moonlight,95,XXXTENTACION,0.921,0.537,0.0804,0.556,0.00404,0.102,0.711,dance pop
3BgL0IcxKAd0sukooPIVhA,GOKU,75,Jaden Smith,0.471,0.887,0.274,0.195,0,0.116,0.268,dance pop
29tc0GbW0pTSBZSCZF3NWk,Lean Wit Me,88,Juice WRLD,0.665,0.651,0.156,0.0414,0,0.0896,0.237,dance pop
5BQrp63SHCVf4bzCzJePne,Don't Cry (feat. XXXTENTACION),88,Lil Wayne,0.585,0.709,0.319,0.409,0,0.183,0.21,dance pop
4uX8Wh4wxpLne11BhoHs5x,Hopeless Romantic (feat. Swae Lee),75,Wiz Khalifa,0.874,0.492,0.0604,0.299,0,0.0983,0.587,dance pop
1iRdVQ01qr3HrCrBNnTnGh,Yoppa (with BlocBoy JB),73,Lil Mosey,0.814,0.495,0.0772,0.125,0,0.11,0.347,dance pop
7wBJfHzpfI3032CSD7CE2m,STARGAZING,90,Travis Scott,0.487,0.789,0.044,0.00947,0.00000405,0.189,0.0564,dance pop
6yz0Jndhv0QjKdpcEMbOjz,Shake It Up,84,Trippie Redd,0.776,0.608,0.104,0.128,0,0.0932,0.402,dance pop
7txPE73wHbuXYkM1h8zNrG,Mob Ties,57,Drake,0.755,0.575,0.0673,0.0443,0.00127,0.276,0.493,dance pop
6f5i916F3jU6BhOOD7iGqf,Ned Flanders (feat. A$AP Ferg),82,MadeinTYO,0.936,0.495,0.229,0.0254,0,0.087,0.299,dance pop
798nzni0JSUWMVJJBCYYF1,The Flute Song,79,Russ,0.789,0.524,0.273,0.212,0,0.221,0.343,dance pop
7q8cy4uoA2itYATsKeXhcq,Multi Millionaire (feat. Lil Uzi Vert),80,Lil Pump,0.855,0.82,0.0983,0.023,0,0.168,0.721,dance pop
0CBQ0m3mufWH75LTYB3s6h,Let It Fly (feat. Travis Scott),87,Lil Wayne,0.902,0.819,0.317,0.0414,0,0.106,0.746,dance pop
2qfR91VvO7hRp4IajDT08h,Dip,82,Tyga,0.877,0.562,0.26,0.0152,0,0.0933,0.376,dance pop
60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),95,Eminem,0.876,0.786,0.306,0.0627,0,0.127,0.575,dance pop
5NiqIB4BwRpoU1V6U195OU,151 Rum,77,J.I.D,0.73,0.86,0.191,0.199,0.00182,0.322,0.647,dance pop
5bJ1DrEM4hNCafcDd1oxHx,Self Care,86,Mac Miller,0.52,0.538,0.206,0.367,0.00187,0.119,0.177,dance pop
6ArSQdZWckNt208EzsgUM5,Taking A Walk,78,Trippie Redd,0.767,0.538,0.052,0.68,0,0.192,0.343,dance pop
7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind,81,YNW Melly,0.759,0.73,0.0516,0.145,0.00000306,0.11,0.74,dance pop
0kCBorRrKZkSztd9m0QI3r,Chanel (Go Get It) [feat. Gunna & Lil Baby],84,Young Thug,0.938,0.5,0.144,0.00183,0,0.077,0.462,dance pop
0ibOcbkp2XG46Do8jcy0bL,Nephew (feat. Lil Pump),83,Smokepurpp,0.792,0.454,0.458,0.00422,0,0.285,0.674,dance pop
2iicKPnvOKfbJZJZtuQnjy,Neighbor (feat. Travis Scott),79,Juicy J,0.921,0.748,0.13,0.00908,0,0.0798,0.801,dance pop
1eq1wUnLVLg4pdEfx9kajC,Rolling in the Deep,75,Adele,0.73,0.77,0.0298,0.138,0,0.0473,0.507,dance pop
0IqKeD8ZSP72KbGYyzEcAs,Take Me To Church,39,Hozier,0.566,0.664,0.0464,0.634,0,0.116,0.437,dance pop
4JehYebiI9JE8sR8MisGVb,Halo,81,Beyoncé,0.508,0.72,0.0628,0.272,0,0.0563,0.472,dance pop
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,86,Jason Mraz,0.686,0.457,0.0468,0.595,0,0.105,0.718,dance pop
2dLLR6qlu5UJ5gk0dKz0h3,Royals,79,Lorde,0.616,0.432,0.133,0.106,0,0.132,0.302,dance pop
3U4isOIWM3VvDubwSI3y7a,All of Me,85,John Legend,0.422,0.264,0.0322,0.922,0,0.132,0.331,dance pop
4VrWlk8IQxevMvERoX08iC,Chandelier,80,Sia,0.399,0.787,0.0499,0.0197,0.0000607,0.0685,0.572,dance pop
