id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre
2Zb7wnGUnNPCas2E0wWSQ5,Ni**as In Paris,15,JAY Z,0.786,0.868,0.3,0.135,0,0.218,0.771,bulgarian hip hop
2E124GmJRnBJuXbTb4cPUB,FEFE (feat. Nicki Minaj & Murda Beatz),95,6ix9ine,0.931,0.387,0.412,0.088,0,0.136,0.376,emo rap
0djL9IcG5ppLXOwJ5e14oP,NO NAME,24,NF,0.493,0.785,0.294,0.245,0,0.168,0.264,hip hop
0snQkGI5qnAmohLE7jTsTn,Toxicity,78,System Of A Down,0.413,0.873,0.0535,0.000264,0.0025,0.204,0.481,alternative metal
2YC6ET3q1F29B0V7UcPV70,Break Stuff,63,Limp Bizkit,0.427,0.908,0.165,0.00325,0.0000612,0.0475,0.617,alternative metal
5sNESr6pQfIhL3krM8CtZn,Numb / Encore,76,JAY Z,0.687,0.793,0.166,0.0603,0,0.582,0.751,bulgarian hip hop
0gD6lWJhbXHWNVwQziSVvl,Plug Walk,22,Rich The Kid,0.882,0.503,0.179,0.224,0,0.108,0.176,hip hop
6iyp6udVpLuq3MCUulZT4h,44 More,24,Logic,0.818,0.572,0.228,0.0717,0,0.101,0.236,conscious hip hop
1xIxMz1sNQ4b6svH1GuTtF,Gimme The Loot,66,The Notorious B.I.G.,0.713,0.647,0.439,0.0867,0,0.636,0.694,east coast hip hop
34xsvZ1A2Ou1oo1VyOwQG1,Loudest MF,58,Yellow Claw,0.696,0.958,0.4,0.00403,0.371,0.0874,0.461,bass trap
1geovaCdfs5fSa4NNgFPVe,Bella Ciao,70,Hardwell,0.616,0.892,0.0462,0.00214,0.000186,0.227,0.235,big room
45HAjqRWiNv6mMPw4NvZrU,Come Together,69,Gary Clark Jr.,0.447,0.788,0.0464,0.00257,0.0000168,0.0744,0.505,blues-rock
1cqWEQ6TRfYr3SBNh7Ni2w,Bodies,63,Drowning Pool,0.613,0.919,0.081,0.00212,0.000584,0.104,0.586,alternative metal
