id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre,
3unsLiH5FXmaDWtT5Imolu,Fallin',55,Alicia Keys,0.6530,0.609,0.037,0.263,0.00101,0.233,0.482,hip pop,
20emy72iC2fMojujwCI6MN,Mele Kalikimaka - Single Version,55,Bing Crosby,0.5180,0.213,0.0771,0.8,0,0.208,0.611,adult standards,
53cumdNGYE6NFmGL0zHvx7,Mistletoe And Holly - 1999 - Remaster,55,Frank Sinatra,0.6480,0.158,0.0367,0.789,0,0.0725,0.333,adult standards,
7d6W6Tn71IWbxe1K5oU808,Touch - Recorded at Spotify Studios NYC,55,Little Mix,0.4150,0.38,0.057,0.639,0,0.124,0.524,dance pop,
3lwcrfL6LfZ1p9ZU8KRx4n,Birmingham,55,Shovels & Rope,0.6100,0.61,0.0337,0.0117,0,0.134,0.442,alternative country,
0VU5k3vCrpqDgUygMjiFYj,Copperhead Road,55,Steve Earle,0.3850,0.59,0.04,0.0188,0.0000423,0.0556,0.765,alternative country,
3Q3LbqfjDhWjmyYeirHfDe,Third of May / Ōdaigahara - Edit,55,Fleet Foxes,0.2560,0.513,0.0338,0.0244,0.0028,0.127,0.415,chamber pop,
7ch5cYBMrDwIq79unJW0lw,Playboy,56,Dodge & Fuski,0.7890,0.861,0.114,0.0242,0.139,0.329,0.411,brostep,
7MoKXLQeI0Bh2QodCjDO4K,Can't Get You Out of My Head,56,Kylie Minogue,0.7660,0.563,0.0339,0.0263,0.683,0.115,0.964,australian dance,
0uaKM65fL3aEgZdmwabvDb,Manya,56,Mut4y,0.8200,0.605,0.0922,0.324,0.00000233,0.159,0.643,unknown,
7cJgiPDOlpnYjlBPcrT9kW,Sorry,56,Nothing But Thieves,0.6690,0.777,0.0269,0.00213,0.000055,0.128,0.523,alternative pop rock,
3pJQY7UuX0DcE8pgLZhCjf,Indigo Puff,56,Sundara Karma,0.5850,0.556,0.0274,0.000686,0.000132,0.151,0.414,alt-indie rock,
5n8XUb8wVgMZYLxKWOCsL6,Salute,56,Danny Byrd,0.5170,0.981,0.0761,0.00112,0.0456,0.0947,0.386,drum and bass,
07n1ONbRLo0jtVPhz3viSv,Fire,56,Magnificence,0.7600,0.824,0.0714,0.000182,0.779,0.037,0.263,big room,
3r1nwFFe5Vk7y5eYvmh2Kh,Ghost,56,Badflower,0.5050,0.848,0.0575,0.0106,0,0.18,0.282,modern alternative rock,
1YFxTkX1asVS76GynrhCjO,Sold,56,Liily,0.4510,0.865,0.044,0.0103,0.0316,0.232,0.461,unknown,
